database_name;schema_name;routine_name;type_desc;create_date;modify_date
COGE;dbo;XDIFFIVAPS;SQL_STORED_PROCEDURE;2008-05-15 17:53:10.843;2011-12-06 08:32:57.730
COGE;dbo;XELE2012;SQL_STORED_PROCEDURE;2013-11-04 10:20:22.093;2014-03-21 05:04:43.100
COGE;dbo;XELEDA2010;SQL_STORED_PROCEDURE;2011-11-25 16:55:41.390;2012-04-13 09:02:49.887
COGE;dbo;XEleDiE;SQL_STORED_PROCEDURE;2011-11-25 16:55:41.747;2012-04-13 09:02:49.877
COGE;dbo;XEleDiE2012;SQL_STORED_PROCEDURE;2013-11-04 10:20:21.817;2013-11-04 10:20:21.817
COGE;dbo;XELEFILE;SQL_STORED_PROCEDURE;2011-11-25 16:55:41.640;2011-12-06 08:32:57.720
COGE;dbo;XELENCHI;SQL_STORED_PROCEDURE;2008-05-15 17:53:11.640;2011-12-06 08:32:57.730
COGE;dbo;XEleVar;SQL_STORED_PROCEDURE;2011-11-25 16:55:41.890;2012-04-13 09:02:49.870
COGE;dbo;XESTRATTO;SQL_STORED_PROCEDURE;2017-12-06 02:54:21.727;2017-12-06 02:54:21.727
COGE;dbo;XF1;SQL_STORED_PROCEDURE;2005-10-24 09:52:56.880;2011-12-06 08:32:57.700
COGE;dbo;XF1P;SQL_STORED_PROCEDURE;2004-09-06 16:22:24.913;2011-12-06 08:32:57.737
COGE;dbo;XF5;SQL_STORED_PROCEDURE;2005-11-07 16:09:30.250;2011-12-06 08:32:57.710
COGE;dbo;XH11;SQL_STORED_PROCEDURE;2004-06-25 15:45:57.060;2011-12-06 08:32:57.727
COGE;dbo;XH8;SQL_STORED_PROCEDURE;2004-06-25 15:45:57.140;2011-12-06 08:32:57.727
COGE;dbo;XI1;SQL_STORED_PROCEDURE;2019-02-08 04:00:46.893;2019-02-08 04:00:46.893
COGE;dbo;XI12019;SQL_STORED_PROCEDURE;2019-02-07 04:00:45.317;2019-02-07 04:00:45.317
COGE;dbo;XI1XML;SQL_STORED_PROCEDURE;2017-09-15 06:01:01.697;2017-09-15 06:01:01.697
COGE;dbo;XI1XML_EST;SQL_STORED_PROCEDURE;2019-04-11 10:30:46.137;2022-04-29 03:40:22.633
COGE;dbo;XI1xxx;SQL_STORED_PROCEDURE;2006-02-03 12:06:57.467;2006-02-03 12:06:57.467
COGE;dbo;XINGRIVEND;SQL_STORED_PROCEDURE;2009-06-25 16:05:26.140;2011-12-06 08:32:57.650
COGE;dbo;XINTRACEE;SQL_STORED_PROCEDURE;2007-10-29 11:02:55.093;2011-12-06 08:32:57.623
COGE;dbo;XIvaP;SQL_STORED_PROCEDURE;2006-05-02 11:12:10.357;2017-09-15 09:49:39.687
COGE;dbo;XLEGGIFTEREG;SQL_STORED_PROCEDURE;2019-02-21 04:00:39.460;2019-02-21 04:00:39.460
COGE;dbo;XMERCEV;SQL_STORED_PROCEDURE;2009-05-18 10:09:34.413;2011-12-06 08:32:57.757
COGE;dbo;XMERCEVSIM;SQL_STORED_PROCEDURE;2012-04-03 09:51:04.937;2013-03-26 14:15:36.060
COGE;dbo;XPIANORIENTRO;SQL_STORED_PROCEDURE;2023-09-27 16:49:38.587;2023-09-29 12:01:51.330
COGE;dbo;XPRIQUO;SQL_STORED_PROCEDURE;2014-06-25 06:02:39.020;2014-06-25 06:02:39.020
COGE;dbo;XRECUPEROSCADENZE;SQL_STORED_PROCEDURE;2023-01-16 09:29:04.607;2023-01-17 09:21:34.727
COGE;dbo;XRegQuo;SQL_STORED_PROCEDURE;2005-07-26 11:16:28.250;2015-02-04 10:14:58.977
COGE;dbo;XSCORRIS;SQL_STORED_PROCEDURE;2015-07-24 06:00:41.047;2015-07-24 06:00:41.047
COGE;dbo;XSPESEM2012;SQL_STORED_PROCEDURE;2013-11-04 10:20:21.573;2014-03-21 05:04:43.020
COGE;dbo;XSUMP;SQL_STORED_PROCEDURE;2009-05-18 10:09:34.430;2011-12-06 08:32:57.757
COGE;dbo;XVENTILA;SQL_STORED_PROCEDURE;2009-05-18 10:09:34.397;2011-12-06 08:32:57.757
